Date;Gold;Silver;Platinum;Palladium
13.10.2021 0:00;4065.28;52.32;2343.35;4897
12.10.2021 0:00;4036.46;51.87;2381.5;5007.14
09.10.2021 0:00;4067.69;52.19;2295.96;4619.69
08.10.2021 0:00;4086.92;52.73;2291.49;4420.3
07.10.2021 0:00;4078.88;52.02;2209.46;4418.93
06.10.2021 0:00;4101.65;52.46;2239.81;4474.95
05.10.2021 0:00;4107.31;52.31;2239.05;4454.66
02.10.2021 0:00;4115.97;51.8;2260.08;4435.75
01.10.2021 0:00;4043.86;50.29;2238.09;4413.09
30.09.2021 0:00;4074.26;52.23;2262.11;4444.69
29.09.2021 0:00;4055.46;51.75;2277.58;4536.5
28.09.2021 0:00;4086.21;52.69;2303.41;4618.5
25.09.2021 0:00;4119.8;53.19;2307.36;4689.83
24.09.2021 0:00;4140.97;53.17;2361.53;4832.95
23.09.2021 0:00;4159.94;53.27;2272.87;4562.14
22.09.2021 0:00;4157.6;53.09;2177.12;4486.05
21.09.2021 0:00;4142.76;52.8;2187.91;4689.39
18.09.2021 0:00;4120.07;53.68;2213.89;4770.7
17.09.2021 0:00;4148.59;54.66;2193.7;4732.06
16.09.2021 0:00;4219.32;55.83;2190;4609.54
15.09.2021 0:00;4181.7;55.17;2235.04;4811.41
14.09.2021 0:00;4200.92;55.41;2241.62;5023.67
11.09.2021 0:00;4210.48;56.2;2308.88;5183.86
10.09.2021 0:00;4221.14;56.77;2311.18;5301.84
09.09.2021 0:00;4245.35;57.41;2363.58;5565.39
08.09.2021 0:00;4260.95;57.05;2386.08;5638.12
07.09.2021 0:00;4277.87;57.95;2413.54;5690.23
04.09.2021 0:00;4244.41;56.34;2354.04;5659.06
03.09.2021 0:00;4251.36;56.6;2342.15;5724.22
02.09.2021 0:00;4268.38;56.29;2386.09;5833.46
01.09.2021 0:00;4274.39;56.65;2379.5;5852.16
31.08.2021 0:00;4254.3;55.85;2344.18;5726.8
28.08.2021 0:00;4271;56.16;2354.94;5756.51
27.08.2021 0:00;4243.41;56.32;2359.83;5725.91
26.08.2021 0:00;4255.03;56.32;2370.88;5770.73
25.08.2021 0:00;4286.39;56.49;2413.09;5796.18
24.08.2021 0:00;4255.14;55.79;2421.78;5524.6
21.08.2021 0:00;4262.78;55.48;2338.26;5525.27
20.08.2021 0:00;4263.04;55.64;2314.85;5669.12
19.08.2021 0:00;4223.31;55.91;2376.07;5930.73
18.08.2021 0:00;4238.06;56.46;2418.98;6108.87
17.08.2021 0:00;4190.07;55.55;2387.92;6165.65
14.08.2021 0:00;4151.89;55.24;2409.42;6155.84
13.08.2021 0:00;4152.17;55.38;2400.71;6225.3
12.08.2021 0:00;4123.87;55.68;2385.31;6271.24
11.08.2021 0:00;4092.41;55.34;2340.14;6154.41
10.08.2021 0:00;4115.74;56.34;2306.61;6191.92
07.08.2021 0:00;4230.86;58.72;2355.9;6240.07
06.08.2021 0:00;4260.67;59.87;2394.75;6259.75
05.08.2021 0:00;4241.34;60.07;2445.42;6203.64
04.08.2021 0:00;4239.95;59.65;2469.42;6274.29
03.08.2021 0:00;4243.23;59.64;2471.92;6253.75
31.07.2021 0:00;4299.07;59.94;2485.5;6226.68
30.07.2021 0:00;4281.39;59.89;2534.31;6226.37
29.07.2021 0:00;4258.18;58.68;2501.47;6174.4
28.07.2021 0:00;4266.86;59.63;2500.07;6227.63
27.07.2021 0:00;4307.56;60.43;2525.24;6367.9
24.07.2021 0:00;4276.19;59.68;2577.97;6415.29
23.07.2021 0:00;4258.64;59.4;2558.88;6314.27
22.07.2021 0:00;4325.24;60.13;2574.69;6378.04
21.07.2021 0:00;4347.53;60.1;2581.74;6226.84
20.07.2021 0:00;4310.29;60.53;2595.85;6264.94
17.07.2021 0:00;4344.52;62.25;2708.77;6466.7
16.07.2021 0:00;4371.55;62.53;2729.83;6700.5
15.07.2021 0:00;4320.73;62.37;2654.8;6729.95
14.07.2021 0:00;4304.58;62.16;2662.01;6757.41
13.07.2021 0:00;4326.22;62.21;2627.48;6718.67
10.07.2021 0:00;4317.67;62.27;2588.11;6739.63
09.07.2021 0:00;4376.42;63.11;2603.73;6844.17
08.07.2021 0:00;4295.95;62.82;2602.45;6745.42
07.07.2021 0:00;4258.37;62.68;2614.67;6687.42
06.07.2021 0:00;4223.75;62.6;2598.94;6591.68
03.07.2021 0:00;4221.29;61.94;2589.34;6577.49
02.07.2021 0:00;4158.37;61.56;2540.97;6471.96
01.07.2021 0:00;4109.93;60.24;2464.37;6249.77
30.06.2021 0:00;4117.54;60.39;2505.99;6207.96
29.06.2021 0:00;4117.26;60.54;2566.55;6123.97
26.06.2021 0:00;4137.67;60.63;2552.33;6134.87
25.06.2021 0:00;4139.56;60.44;2513.69;6078.42
24.06.2021 0:00;4165.39;60.62;2537.22;6072.04
23.06.2021 0:00;4185.05;61.09;2493.48;6064.34
22.06.2021 0:00;4194.8;61.08;2447.53;5902.3
19.06.2021 0:00;4161.79;61.27;2507.73;5939.62
18.06.2021 0:00;4211.68;62;2596.83;6445.44
